SSD_Temp,AIR_Temp
48.0,26.0
46.0,26.0
44.0,
52.0,26.0
48.0,
45.0,26.0
46.0,26.0
47.0,26.0
45.0,
44.0,
48.0,18.0
45.0,26.0
49.0,26.0
52.0,
46.0,26.0
45.0,
48.0,26.0
48.0,
45.0,26.0
46.0,
51.0,
46.0,26.0
44.0,26.0
47.0,
48.0,26.0
46.0,
46.0,26.0
47.0,26.0
45.0,26.0
46.0,
45.0,
48.0,26.0
47.0,
46.0,26.0
48.0,26.0
47.0,
50.0,26.0
46.0,26.0
45.0,
54.0,
50.0,
45.0,
45.0,
53.0,
50.0,
45.0,
44.0,
49.0,
46.0,26.0
45.0,26.0
48.0,
45.0,26.0
46.0,26.0
49.0,26.0
51.0,
45.0,26.0
50.0,26.0
48.0,
46.0,26.0
46.0,
51.0,
46.0,26.0
45.0,
49.0,26.0
48.0,26.0
46.0,
44.0,26.0
46.0,
45.0,
53.0,
49.0,26.0
46.0,26.0
44.0,26.0
45.0,26.0
46.0,
45.0,
52.0,
47.0,26.0
45.0,
44.0,
53.0,
49.0,
46.0,26.0
44.0,
50.0,
47.0,
44.0,26.0
45.0,26.0
45.0,
44.0,
52.0,
49.0,
46.0,26.0
50.0,26.0
47.0,26.0
47.0,
45.0,26.0
45.0,
53.0,26.0
50.0,
45.0,26.0
48.0,
52.0,
46.0,
45.0,
51.0,26.0
46.0,26.0
45.0,
49.0,
50.0,26.0
47.0,26.0
45.0,26.0
47.0,26.0
45.0,26.0
49.0,
46.0,
47.0,26.0
45.0,26.0
49.0,
46.0,26.0
44.0,26.0
45.0,26.0
49.0,26.0
49.0,
45.0,
44.0,
53.0,26.0
47.0,
45.0,
49.0,26.0
48.0,26.0
45.0,
49.0,26.0
46.0,26.0
45.0,
49.0,
50.0,18.0
46.0,
46.0,26.0
47.0,
45.0,26.0
48.0,26.0
45.0,
49.0,26.0
47.0,
45.0,
53.0,26.0
48.0,
46.0,
44.0,
53.0,26.0
47.0,26.0
45.0,26.0
51.0,26.0
49.0,
45.0,26.0
50.0,26.0
47.0,26.0
45.0,26.0
51.0,
48.0,
45.0,
48.0,26.0
48.0,26.0
46.0,
45.0,
49.0,
52.0,
46.0,26.0
50.0,26.0
48.0,
46.0,26.0
50.0,
51.0,26.0
47.0,26.0
46.0,
46.0,26.0
47.0,26.0
45.0,
48.0,26.0
46.0,
44.0,26.0
47.0,
48.0,
46.0,
44.0,26.0
45.0,26.0
48.0,26.0
46.0,
48.0,26.0
46.0,26.0
45.0,26.0
53.0,
48.0,
45.0,26.0
50.0,
46.0,26.0
45.0,
51.0,
48.0,
45.0,26.0
50.0,
54.0,
47.0,
46.0,
44.0,
49.0,26.0
49.0,26.0
46.0,
45.0,
49.0,27.0
52.0,27.0
48.0,
46.0,
44.0,
49.0,26.0
50.0,26.0
46.0,26.0
44.0,26.0
